date,search_term,value
2005-09,Excel data,57
2005-10,Excel data,51
2005-11,Excel data,58
2005-12,Excel data,53
2006-01,Excel data,58
2006-02,Excel data,56
2006-03,Excel data,57
2006-04,Excel data,54
2006-05,Excel data,51
2006-06,Excel data,55
2006-07,Excel data,54
2006-08,Excel data,53
2006-09,Excel data,53
2006-10,Excel data,52
2006-11,Excel data,49
2006-12,Excel data,47
2007-01,Excel data,53
2007-02,Excel data,53
2007-03,Excel data,51
2007-04,Excel data,49
2007-05,Excel data,52
2007-06,Excel data,53
2007-07,Excel data,54
2007-08,Excel data,54
2007-09,Excel data,50
2007-10,Excel data,55
2007-11,Excel data,56
2007-12,Excel data,46
2008-01,Excel data,54
2008-02,Excel data,60
2008-03,Excel data,55
2008-04,Excel data,57
2008-05,Excel data,57
2008-06,Excel data,56
2008-07,Excel data,59
2008-08,Excel data,55
2008-09,Excel data,56
2008-10,Excel data,61
2008-11,Excel data,58
2008-12,Excel data,50
2009-01,Excel data,57
2009-02,Excel data,67
2009-03,Excel data,65
2009-04,Excel data,63
2009-05,Excel data,57
2009-06,Excel data,59
2009-07,Excel data,60
2009-08,Excel data,60
2009-09,Excel data,62
2009-10,Excel data,66
2009-11,Excel data,63
2009-12,Excel data,54
2010-01,Excel data,58
2010-02,Excel data,68
2010-03,Excel data,71
2010-04,Excel data,71
2010-05,Excel data,64
2010-06,Excel data,70
2010-07,Excel data,67
2010-08,Excel data,62
2010-09,Excel data,68
2010-10,Excel data,67
2010-11,Excel data,66
2010-12,Excel data,60
2011-01,Excel data,63
2011-02,Excel data,72
2011-03,Excel data,71
2011-04,Excel data,66
2011-05,Excel data,66
2011-06,Excel data,68
2011-07,Excel data,69
2011-08,Excel data,68
2011-09,Excel data,70
2011-10,Excel data,70
2011-11,Excel data,71
2011-12,Excel data,60
2012-01,Excel data,68
2012-02,Excel data,77
2012-03,Excel data,78
2012-04,Excel data,72
2012-05,Excel data,72
2012-06,Excel data,74
2012-07,Excel data,73
2012-08,Excel data,73
2012-09,Excel data,78
2012-10,Excel data,81
2012-11,Excel data,76
2012-12,Excel data,58
2013-01,Excel data,76
2013-02,Excel data,83
2013-03,Excel data,81
2013-04,Excel data,84
2013-05,Excel data,80
2013-06,Excel data,76
2013-07,Excel data,81
2013-08,Excel data,72
2013-09,Excel data,80
2013-10,Excel data,85
2013-11,Excel data,78
2013-12,Excel data,68
2014-01,Excel data,79
2014-02,Excel data,87
2014-03,Excel data,89
2014-04,Excel data,88
2014-05,Excel data,83
2014-06,Excel data,86
2014-07,Excel data,82
2014-08,Excel data,79
2014-09,Excel data,90
2014-10,Excel data,90
2014-11,Excel data,90
2014-12,Excel data,75
2015-01,Excel data,82
2015-02,Excel data,95
2015-03,Excel data,97
2015-04,Excel data,95
2015-05,Excel data,85
2015-06,Excel data,90
2015-07,Excel data,87
2015-08,Excel data,82
2015-09,Excel data,92
2015-10,Excel data,94
2015-11,Excel data,89
2015-12,Excel data,78
2016-01,Excel data,76
2016-02,Excel data,90
2016-03,Excel data,88
2016-04,Excel data,88
2016-05,Excel data,83
2016-06,Excel data,83
2016-07,Excel data,76
2016-08,Excel data,80
2016-09,Excel data,83
2016-10,Excel data,87
2016-11,Excel data,88
2016-12,Excel data,72
2017-01,Excel data,84
2017-02,Excel data,94
2017-03,Excel data,100
2017-04,Excel data,90
2017-05,Excel data,88
2017-06,Excel data,83
2017-07,Excel data,80
2017-08,Excel data,84
2017-09,Excel data,88
2017-10,Excel data,91
2017-11,Excel data,92
2017-12,Excel data,73
2018-01,Excel data,86
2018-02,Excel data,98
2018-03,Excel data,92
2018-04,Excel data,97
